1749,passion,of
1750,of,destructive
1751,destructive,service
1752,service,of
1753,of,merciless
1754,merciless,self-denial.
1755,self-denial.,in
1756,in,the
1757,the,evening
1758,evening,after
1759,after,the
1760,the,hour
1761,hour,of
1762,of,contemplation
1763,contemplation,siddhartha
1764,siddhartha,spoke
1765,spoke,to
1766,to,govinda
1767,govinda,&quot;
1768,&quot;,early
1769,early,tomorrow
1770,tomorrow,morning
1771,morning,my
1772,my,friend
1773,friend,siddhartha
1774,siddhartha,will
1775,will,go
1776,go,to
1777,to,the
1778,the,samanas.
1779,samanas.,he
1780,he,will
1781,will,become
1782,become,a
1783,a,samana.
1784,samana.,&quot;
1785,&quot;,govinda
1786,govinda,turned
